bench, time (s), std (s)
ackermann.c, 11.2400, 0.2073
ary3.c, 6.0517, 0.0514
binary-trees.c, 11.8494, 0.3691
fannkuch-redux.c, 0.0105, 0.0002
fasta.c, 7.3930, 0.0425
fib2.c, 6.6435, 0.0356
hash.c, 6.2946, 0.1726
heapsort.c, 6.7810, 0.0667
lists.c, 27.2737, 0.4379
mandelbrot.c, 69.6544, 0.2152
matrix.c, 19.6390, 0.3070
methcall.c, 8.3623, 0.0632
n-body.c, 8.8516, 0.1058
nestedloop.c, 22.4654, 1.3496
objinst.c, 4.8411, 0.0593
random.c, 8.6152, 0.0133
regex-redux.c, 4.2002, 0.0369
sieve.c, 18.6020, 0.3110
spectral-norm.c, 50.2491, 0.8679
strcat.c, 5.4027, 0.0385
